"year","industry_branch","avg_wage","food_category","avg_price","unit"
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Máslo,104.38779999999998,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Papriky,35.310199999999995,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Kuřata kuchaná celá,47.47420000000001,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Jogurt bílý netučný,5.829,g
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Šunkový salám,116.77419999999996,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Jablka konzumní,30.714799999999986,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Těstoviny vaječné,26.095600000000005,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Banány žluté,27.30520000000001,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Vejce slepičí čerstvá,23.494,ks
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Cukr krystalový,21.726199999999995,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Eidamská cihla,110.94640000000003,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Chléb konzumní kmínový,16.1234,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Mrkev,14.409799999999997,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Mléko polotučné pasterované,14.437999999999999,l
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Kapr živý,69.35000000000001,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Konzumní brambory,12.075399999999997,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Pšeničná mouka hladká,7.407199999999998,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Pečivo pšeničné bílé,38.596799999999995,kg
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,18223,Pomeranče,24.73379999999999,kg
2006,"Profesní, vědecké a technické činnosti",24645,Máslo,104.38779999999998,kg
2006,"Profesní, vědecké a technické činnosti",24645,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,"Profesní, vědecké a technické činnosti",24645,Papriky,35.310199999999995,kg
2006,"Profesní, vědecké a technické činnosti",24645,Kuřata kuchaná celá,47.47420000000001,kg
2006,"Profesní, vědecké a technické činnosti",24645,Jogurt bílý netučný,5.829,g
2006,"Profesní, vědecké a technické činnosti",24645,Šunkový salám,116.77419999999996,kg
2006,"Profesní, vědecké a technické činnosti",24645,Jablka konzumní,30.714799999999986,kg
2006,"Profesní, vědecké a technické činnosti",24645,Těstoviny vaječné,26.095600000000005,kg
2006,"Profesní, vědecké a technické činnosti",24645,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,"Profesní, vědecké a technické činnosti",24645,Rajská jablka červená kulatá,57.829800000000006,kg
2006,"Profesní, vědecké a technické činnosti",24645,Banány žluté,27.30520000000001,kg
2006,"Profesní, vědecké a technické činnosti",24645,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,"Profesní, vědecké a technické činnosti",24645,Vejce slepičí čerstvá,23.494,ks
2006,"Profesní, vědecké a technické činnosti",24645,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,"Profesní, vědecké a technické činnosti",24645,Cukr krystalový,21.726199999999995,kg
2006,"Profesní, vědecké a technické činnosti",24645,Eidamská cihla,110.94640000000003,kg
2006,"Profesní, vědecké a technické činnosti",24645,Chléb konzumní kmínový,16.1234,kg
2006,"Profesní, vědecké a technické činnosti",24645,Mrkev,14.409799999999997,kg
2006,"Profesní, vědecké a technické činnosti",24645,Mléko polotučné pasterované,14.437999999999999,l
2006,"Profesní, vědecké a technické činnosti",24645,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,"Profesní, vědecké a technické činnosti",24645,Kapr živý,69.35000000000001,kg
2006,"Profesní, vědecké a technické činnosti",24645,Konzumní brambory,12.075399999999997,kg
2006,"Profesní, vědecké a technické činnosti",24645,Pšeničná mouka hladká,7.407199999999998,kg
2006,"Profesní, vědecké a technické činnosti",24645,Vepřová pečeně s kostí,105.17739999999998,kg
2006,"Profesní, vědecké a technické činnosti",24645,Pečivo pšeničné bílé,38.596799999999995,kg
2006,"Profesní, vědecké a technické činnosti",24645,Pomeranče,24.73379999999999,kg
2006,Činnosti v oblasti nemovitostí,19242,Máslo,104.38779999999998,kg
2006,Činnosti v oblasti nemovitostí,19242,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Činnosti v oblasti nemovitostí,19242,Papriky,35.310199999999995,kg
2006,Činnosti v oblasti nemovitostí,19242,Kuřata kuchaná celá,47.47420000000001,kg
2006,Činnosti v oblasti nemovitostí,19242,Jogurt bílý netučný,5.829,g
2006,Činnosti v oblasti nemovitostí,19242,Šunkový salám,116.77419999999996,kg
2006,Činnosti v oblasti nemovitostí,19242,Jablka konzumní,30.714799999999986,kg
2006,Činnosti v oblasti nemovitostí,19242,Těstoviny vaječné,26.095600000000005,kg
2006,Činnosti v oblasti nemovitostí,19242,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Činnosti v oblasti nemovitostí,19242,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Činnosti v oblasti nemovitostí,19242,Banány žluté,27.30520000000001,kg
2006,Činnosti v oblasti nemovitostí,19242,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Činnosti v oblasti nemovitostí,19242,Vejce slepičí čerstvá,23.494,ks
2006,Činnosti v oblasti nemovitostí,19242,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Činnosti v oblasti nemovitostí,19242,Cukr krystalový,21.726199999999995,kg
2006,Činnosti v oblasti nemovitostí,19242,Eidamská cihla,110.94640000000003,kg
2006,Činnosti v oblasti nemovitostí,19242,Chléb konzumní kmínový,16.1234,kg
2006,Činnosti v oblasti nemovitostí,19242,Mrkev,14.409799999999997,kg
2006,Činnosti v oblasti nemovitostí,19242,Mléko polotučné pasterované,14.437999999999999,l
2006,Činnosti v oblasti nemovitostí,19242,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Činnosti v oblasti nemovitostí,19242,Kapr živý,69.35000000000001,kg
2006,Činnosti v oblasti nemovitostí,19242,Konzumní brambory,12.075399999999997,kg
2006,Činnosti v oblasti nemovitostí,19242,Pšeničná mouka hladká,7.407199999999998,kg
2006,Činnosti v oblasti nemovitostí,19242,Vepřová pečeně s kostí,105.17739999999998,kg
