"id","value","value_type_code","unit_code","calculation_code","industry_branch_code","payroll_year","payroll_quarter"
741371788,,316,80403,100,A,2000,1
741371789,,316,80403,100,A,2000,2
741371790,,316,80403,100,A,2000,3
741371791,,316,80403,100,A,2000,4
741371795,,316,80403,100,A,2001,1
741371796,,316,80403,100,A,2001,2
741371797,,316,80403,100,A,2001,3
741371798,,316,80403,100,A,2001,4
741371802,,316,80403,100,A,2002,1
741371803,,316,80403,100,A,2002,2
741371804,,316,80403,100,A,2002,3
741371805,,316,80403,100,A,2002,4
741371809,154,316,80403,100,A,2003,1
741371810,,316,80403,100,A,2003,2
741371811,,316,80403,100,A,2003,3
741371812,,316,80403,100,A,2003,4
741371816,142,316,80403,100,A,2004,1
741371817,,316,80403,100,A,2004,2
741371818,,316,80403,100,A,2004,3
741371819,,316,80403,100,A,2004,4
741371823,,316,80403,100,A,2005,1
741371824,,316,80403,100,A,2005,2
741371825,,316,80403,100,A,2005,3
741371826,,316,80403,100,A,2005,4
741371830,,316,80403,100,A,2006,1
741371831,,316,80403,100,A,2006,2
741371832,140,316,80403,100,A,2006,3
741371833,,316,80403,100,A,2006,4
741371837,,316,80403,100,A,2007,1
741371838,,316,80403,100,A,2007,2
741371839,,316,80403,100,A,2007,3
741371840,,316,80403,100,A,2007,4
741371844,,316,80403,100,A,2008,1
741371845,,316,80403,100,A,2008,2
741371846,,316,80403,100,A,2008,3
741371847,,316,80403,100,A,2008,4
741371851,,316,80403,100,A,2009,1
741371852,,316,80403,100,A,2009,2
741371853,,316,80403,100,A,2009,3
741371854,,316,80403,100,A,2009,4
741371858,,316,80403,100,A,2010,1
741371859,,316,80403,100,A,2010,2
741371860,,316,80403,100,A,2010,3
741371861,,316,80403,100,A,2010,4
741371865,,316,80403,100,A,2011,1
741371866,,316,80403,100,A,2011,2
741371867,,316,80403,100,A,2011,3
741371868,,316,80403,100,A,2011,4
741371872,,316,80403,100,A,2012,1
741371873,,316,80403,100,A,2012,2
741371874,,316,80403,100,A,2012,3
741371875,,316,80403,100,A,2012,4
741371879,,316,80403,100,A,2013,1
741371880,,316,80403,100,A,2013,2
741371881,,316,80403,100,A,2013,3
741371882,,316,80403,100,A,2013,4
741371898,,316,80403,100,B,2000,1
741371899,,316,80403,100,B,2000,2
741371900,,316,80403,100,B,2000,3
741371901,,316,80403,100,B,2000,4
741371905,58,316,80403,100,B,2001,1
741371906,,316,80403,100,B,2001,2
741371907,58,316,80403,100,B,2001,3
741371908,,316,80403,100,B,2001,4
741371912,,316,80403,100,B,2002,1
741371913,,316,80403,100,B,2002,2
741371914,,316,80403,100,B,2002,3
741371915,,316,80403,100,B,2002,4
741371919,,316,80403,100,B,2003,1
741371920,,316,80403,100,B,2003,2
741371921,50,316,80403,100,B,2003,3
741371922,,316,80403,100,B,2003,4
741371926,,316,80403,100,B,2004,1
741371927,,316,80403,100,B,2004,2
741371928,,316,80403,100,B,2004,3
741371929,,316,80403,100,B,2004,4
741371933,,316,80403,100,B,2005,1
741371934,,316,80403,100,B,2005,2
741371935,,316,80403,100,B,2005,3
741371936,,316,80403,100,B,2005,4
741371940,,316,80403,100,B,2006,1
741371941,,316,80403,100,B,2006,2
741371942,,316,80403,100,B,2006,3
741371943,,316,80403,100,B,2006,4
741371947,,316,80403,100,B,2007,1
741371948,42,316,80403,100,B,2007,2
741371949,,316,80403,100,B,2007,3
741371950,,316,80403,100,B,2007,4
741371954,,316,80403,100,B,2008,1
741371955,42,316,80403,100,B,2008,2
741371956,,316,80403,100,B,2008,3
741371957,,316,80403,100,B,2008,4
741371961,,316,80403,100,B,2009,1
741371962,,316,80403,100,B,2009,2
741371963,,316,80403,100,B,2009,3
741371964,,316,80403,100,B,2009,4
741371968,,316,80403,100,B,2010,1
741371969,,316,80403,100,B,2010,2
741371970,,316,80403,100,B,2010,3
741371971,,316,80403,100,B,2010,4
741371975,,316,80403,100,B,2011,1
741371976,,316,80403,100,B,2011,2
741371977,,316,80403,100,B,2011,3
741371978,34,316,80403,100,B,2011,4
741371982,,316,80403,100,B,2012,1
741371983,,316,80403,100,B,2012,2
741371984,,316,80403,100,B,2012,3
741371985,,316,80403,100,B,2012,4
741371989,,316,80403,100,B,2013,1
741371990,,316,80403,100,B,2013,2
741371991,,316,80403,100,B,2013,3
741371992,,316,80403,100,B,2013,4
741372008,,316,80403,100,C,2000,1
741372009,,316,80403,100,C,2000,2
741372010,,316,80403,100,C,2000,3
741372011,,316,80403,100,C,2000,4
741372015,,316,80403,100,C,2001,1
741372016,,316,80403,100,C,2001,2
741372017,,316,80403,100,C,2001,3
741372018,1249,316,80403,100,C,2001,4
741372022,,316,80403,100,C,2002,1
741372023,,316,80403,100,C,2002,2
741372024,,316,80403,100,C,2002,3
741372025,,316,80403,100,C,2002,4
741372029,,316,80403,100,C,2003,1
741372030,,316,80403,100,C,2003,2
741372031,,316,80403,100,C,2003,3
741372032,,316,80403,100,C,2003,4
741372036,,316,80403,100,C,2004,1
741372037,,316,80403,100,C,2004,2
741372038,,316,80403,100,C,2004,3
741372039,,316,80403,100,C,2004,4
741372043,,316,80403,100,C,2005,1
741372044,,316,80403,100,C,2005,2
741372045,,316,80403,100,C,2005,3
741372046,,316,80403,100,C,2005,4
741372050,1189,316,80403,100,C,2006,1
741372051,,316,80403,100,C,2006,2
741372052,,316,80403,100,C,2006,3
741372053,,316,80403,100,C,2006,4
741372057,,316,80403,100,C,2007,1
741372058,,316,80403,100,C,2007,2
741372059,1244,316,80403,100,C,2007,3
741372060,,316,80403,100,C,2007,4
741372064,,316,80403,100,C,2008,1
741372065,,316,80403,100,C,2008,2
741372066,,316,80403,100,C,2008,3
741372067,,316,80403,100,C,2008,4
741372071,1133,316,80403,100,C,2009,1
741372072,,316,80403,100,C,2009,2
741372073,,316,80403,100,C,2009,3
741372074,,316,80403,100,C,2009,4
741372078,,316,80403,100,C,2010,1
741372079,,316,80403,100,C,2010,2
741372080,,316,80403,100,C,2010,3
741372081,,316,80403,100,C,2010,4
741372085,,316,80403,100,C,2011,1
741372086,,316,80403,100,C,2011,2
741372087,,316,80403,100,C,2011,3
741372088,,316,80403,100,C,2011,4
741372092,,316,80403,100,C,2012,1
741372093,,316,80403,100,C,2012,2
741372094,,316,80403,100,C,2012,3
741372095,,316,80403,100,C,2012,4
741372099,,316,80403,100,C,2013,1
741372100,,316,80403,100,C,2013,2
741372101,1059,316,80403,100,C,2013,3
741372102,,316,80403,100,C,2013,4
741372118,,316,80403,100,D,2000,1
741372119,,316,80403,100,D,2000,2
741372120,,316,80403,100,D,2000,3
741372121,51,316,80403,100,D,2000,4
741372125,,316,80403,100,D,2001,1
741372126,,316,80403,100,D,2001,2
741372127,,316,80403,100,D,2001,3
741372128,,316,80403,100,D,2001,4
741372132,48,316,80403,100,D,2002,1
741372133,,316,80403,100,D,2002,2
741372134,,316,80403,100,D,2002,3
741372135,,316,80403,100,D,2002,4
741372139,,316,80403,100,D,2003,1
741372140,,316,80403,100,D,2003,2
741372141,45,316,80403,100,D,2003,3
741372142,,316,80403,100,D,2003,4
741372146,,316,80403,100,D,2004,1
741372147,,316,80403,100,D,2004,2
741372148,,316,80403,100,D,2004,3
741372149,,316,80403,100,D,2004,4
741372153,,316,80403,100,D,2005,1
741372154,,316,80403,100,D,2005,2
741372155,39,316,80403,100,D,2005,3
741372156,,316,80403,100,D,2005,4
741372160,,316,80403,100,D,2006,1
741372161,,316,80403,100,D,2006,2
741372162,,316,80403,100,D,2006,3
741372163,,316,80403,100,D,2006,4
741372167,,316,80403,100,D,2007,1
741372168,,316,80403,100,D,2007,2
741372169,,316,80403,100,D,2007,3
741372170,,316,80403,100,D,2007,4
741372174,32,316,80403,100,D,2008,1
741372175,,316,80403,100,D,2008,2
741372176,,316,80403,100,D,2008,3
741372177,,316,80403,100,D,2008,4
741372181,,316,80403,100,D,2009,1
741372182,,316,80403,100,D,2009,2
741372183,,316,80403,100,D,2009,3
741372184,,316,80403,100,D,2009,4
741372188,,316,80403,100,D,2010,1
741372189,,316,80403,100,D,2010,2
741372190,,316,80403,100,D,2010,3
741372191,,316,80403,100,D,2010,4
741372195,,316,80403,100,D,2011,1
741372196,30,316,80403,100,D,2011,2
741372197,30,316,80403,100,D,2011,3
